Designator,Mid X,Mid Y,Rotation,Layer
U4,133.35,-61.9125,0.0,bottom
U40,204.7875,-100.0125,180.0,bottom
U41,223.8375,-100.0125,180.0,bottom
U42,242.8875,-100.0125,180.0,bottom
U43,261.9375,-100.0125,180.0,bottom
U44,280.9875,-100.0125,180.0,bottom
U45,300.0375,-100.0125,180.0,bottom
U46,330.99375,-100.0125,180.0,bottom
U47,361.95,-100.0125,180.0,bottom
U48,88.10625,-119.0625,180.0,bottom
U49,119.0625,-119.0625,180.0,bottom
U5,152.4,-61.9125,0.0,bottom
U50,138.1125,-119.0625,180.0,bottom
U51,157.1625,-119.0625,180.0,bottom
U52,176.2125,-119.0625,180.0,bottom
U53,195.2625,-119.0625,180.0,bottom
U54,214.3125,-119.0625,180.0,bottom
U55,233.3625,-119.0625,180.0,bottom
U56,252.4125,-119.0625,180.0,bottom
U57,271.4625,-119.0625,180.0,bottom
U58,290.5125,-119.0625,180.0,bottom
U59,316.70625,-119.0625,180.0,bottom
U6,171.45,-61.9125,0.0,bottom
U60,342.9,-119.0625,180.0,bottom
U61,361.95,-119.0625,180.0,bottom
U62,78.58125,-138.1125,180.0,bottom
U63,102.39375,-138.1125,180.0,bottom
U64,126.20625,-138.1125,180.0,bottom
U65,197.64375,-138.1125,180.0,bottom
U66,209.55,-138.1125,180.0,bottom
U67,269.08125,-138.1125,180.0,bottom
U68,292.89375,-138.1125,180.0,bottom
U69,323.85,-138.1125,180.0,bottom
U7,190.5,-61.9125,0.0,bottom
U70,342.9,-138.1125,180.0,bottom
U71,361.95,-138.1125,180.0,bottom
U8,209.55,-61.9125,0.0,bottom
U9,228.6,-61.9125,0.0,bottom
Y1,95.646875,-86.121875,315.0,bottom
